Functions
A.1	Domain and range
X.4	Velocity as a rate of change
X.5	Find values of derivatives using limits
X.6	Find the gradient of a tangent line using limits
X.7	Find equations of tangent lines using limits
Derivative rules
Y.1	Sum and difference rules
Y.2	Product rule
Y.3	Quotient rule
Y.4	Power rule I
Y.5	Power rule II
Y.6	Chain rule
Y.7	Inverse function rule
Calculate derivatives
Z.1	Find derivatives of polynomials
Z.2	Find derivatives of rational functions
Z.3	Find derivatives of trigonometric functions I
Z.4	Find derivatives of trigonometric functions II
Z.5	Find derivatives of exponential functions
Z.6	Find derivatives of logarithmic functions
Z.7	Find derivatives of inverse trigonometric functions
Z.8	Find derivatives of radical functions
Z.9	Find derivatives using the product rule I
Z.10	Find derivatives using the product rule II
Z.11	Find derivatives using the quotient rule I
Z.12	Find derivatives using the quotient rule II
Z.13	Find derivatives using the chain rule I
Z.14	Find derivatives using the chain rule II
Derivative strategies
AA.1	Find derivatives using implicit differentiation
AA.2	Find tangent lines using implicit differentiation
AA.3	Find derivatives using logarithmic differentiation
Calculate higher derivatives
BB.1	Find higher derivatives of polynomials
BB.2	Find higher derivatives of rational and radical functions
BB.3	Find second derivatives of trigonometric, exponential and logarithmic functions
BB.4	Find higher derivatives using patterns
